Cu+-Cu+,,Cu+-Cl-,,Cl-_Cl-,
X,Y,X,Y,X,Y
1.062462046,0.027308648,-0.033482179,-0.00639628,0.177670032,-0.012365802
1.171468423,0.034068836,0.068663656,0.005025238,0.955579171,-0.009262441
1.286137468,0.0453697,0.177670032,0.006610162,1.153772582,-0.008471776
1.400806513,0.076550147,0.286676408,0.007045028,1.262778959,-0.00803691
1.509812889,0.124876734,0.395682784,0.007479894,1.416378852,-0.007424145
1.638795903,0.220471923,0.50468916,0.00791476,1.525385228,-0.006989279
1.747802279,0.305947224,0.613695537,-1.99E-06,1.634391605,-0.006554413
1.859010804,0.410407275,0.722701913,0.008784492,1.743397981,-0.006119547
1.96801718,0.514858541,0.831708289,0.023595089,1.852404357,-0.005684681
2.079225706,0.63478049,0.91891339,0.11773025,1.961410733,-0.005249816
2.190434231,0.750485557,0.95681788,0.289613947,2.070417109,-0.00423992
2.263655685,0.799271797,0.981769015,0.461626692,2.17446865,0.002558003
2.387526567,0.957899003,1.015037194,0.657031126,2.288429862,0.046082326
2.496532944,1.025540412,1.034856536,0.878970849,2.382571732,0.158516715
2.602707985,1.106047072,1.052552376,1.066429098,2.446984591,0.302832881
2.73188762,1.168008398,1.073944681,1.268221918,2.491578108,0.438056398
2.847618415,1.224494367,1.094314559,1.483276265,2.531216791,0.585278259
2.967950129,1.268348048,1.1141339,1.679440302,2.570855473,0.745150763
3.076956505,1.29769867,1.133953241,1.867697687,2.610494155,0.920836572
3.19162555,1.312614004,1.152533874,2.068600774,2.640223167,1.050624265
3.305409803,1.322104105,1.175715424,2.260598994,2.674907014,1.222600536
3.418132306,1.322553796,1.195534765,2.41248578,2.704636026,1.363984652
3.527138682,1.307175357,1.222432443,2.578858682,2.734365037,1.496935006
3.639861185,1.287858418,1.253577122,2.724465327,2.769048884,1.650462423
3.748867561,1.258248006,1.317282147,2.862726487,2.808687566,1.808753597
3.868314483,1.216819267,1.401514346,2.79357982,2.853281084,1.961688014
3.974312566,1.190359515,1.451770533,2.651159367,2.907784272,2.109074597
4.079878085,1.14949036,1.486847621,2.523688448,2.992016472,2.252976263
4.183654357,1.11450013,1.534193825,2.373475237,3.101022848,2.310339023
4.305755655,1.069467511,1.574933581,2.224465594,3.210029224,2.248095702
4.414762031,1.045504708,1.614572264,2.087047982,3.314080765,2.119761755
4.508196068,1.034672595,1.65531202,1.945242177,3.4032678,1.97795595
4.646931456,0.969284582,1.703759299,1.795806454,3.482545165,1.843859132
4.752221706,0.961797971,1.758262487,1.660662004,3.561822529,1.706599652
4.867775543,0.944299562,1.832585016,1.497855567,3.646054729,1.566636537
4.981382837,0.925550913,1.906907545,1.348151582,3.740196599,1.422513644
5.086673087,0.914110976,1.99609458,1.205555112,3.83433847,1.291181957
5.206120009,0.901372089,2.100146121,1.078083708,3.963164187,1.134393447
5.312118092,0.888918406,2.209152497,0.979038516,4.072170563,1.025572757
5.435458099,0.880600184,2.318158874,0.905869639,4.181176939,0.933427915
5.544464475,0.875613346,2.42716525,0.851676727,4.290183316,0.859684009
5.659133521,0.876070802,2.531216791,0.818050095,4.399189692,0.799740805
5.773802566,0.877431876,2.645178002,0.786993125,4.508196068,0.754173332
5.882808942,0.882384829,2.754184378,0.771327173,4.617202444,0.715506209
5.997477987,0.874709729,2.863190755,0.759111395,4.72620882,0.694089964
6.107369155,0.89367228,2.972197131,0.754946027,4.835215197,0.674973836
6.221153408,0.912650363,3.081203507,0.745605396,4.944221573,0.670808468
6.335822453,0.927565697,3.190209883,0.748915408,5.053227949,0.671243333
6.44482883,0.942458441,3.299216259,0.759125771,5.162234325,0.673403287
6.554543039,0.946849457,3.408222635,0.759560637,5.271240701,0.684763708
6.788835965,1.021541905,3.517229012,0.771496087,5.380247078,0.701874422
6.90350501,1.021095744,3.626235388,0.78170645,5.489253454,0.725310458
7.012511386,1.026048696,3.735241764,0.796517047,5.59825983,0.753921756
7.127180431,1.04819297,3.84424814,0.815352849,5.707266206,0.78598323
7.236186807,1.070314653,3.953254516,0.833038592,5.806362912,0.819730259
7.350855852,1.092458926,4.062260893,0.857624686,5.9029822,0.859648968
7.465524898,1.109181495,4.171267269,0.878760604,6.031454,0.912797201
7.574531274,1.133110413,4.280273645,0.913505548,6.143291711,0.961381524
7.694862988,1.15961464,4.389280021,0.940583435,6.252298087,1.008968788
7.806877657,1.200377902,4.498286397,0.974369997,6.364277365,1.05536035
7.897303401,1.213916397,4.607292774,1.00758153,6.47031084,1.097817993
0.894669496,-0.00014111,4.71629915,1.044243238,6.579317216,1.136779818
0.764059285,-0.000662162,4.825305526,1.081479975,6.688323592,1.168266263
0.573167438,0.011402182,4.934311902,1.114691507,6.797329968,1.195152474
0.352134774,0.010520402,5.043318278,1.143302806,6.906336344,1.2105381
0.181336806,0.009839028,5.152324655,1.169613988,7.015342721,1.216723258
0.020585777,0.022023613,5.261331031,1.187299731,7.124349097,1.217158124
0.442557227,0.01088113,5.370337407,1.197510094,7.233355473,1.215867902
0.663589892,0.024588789,5.479343783,1.197944959,7.342361849,1.208827388
0.271759259,0.023025635,5.588350159,1.193204562,7.451368225,1.199486757
6.661612654,0.997632189,5.697356536,1.181563814,7.560374601,1.188996067
,,5.806362912,1.163597744,7.629742295,1.18122239
,,5.915369288,1.142181499,7.794242827,1.169227999
,,6.024375664,1.11616502,7.897303401,1.169639145
,,6.13338204,1.092448658,7.961716259,1.169896111
,,6.242388417,1.068157266,0.010538837,-0.003668227
,,6.351394793,1.040415699,0.332040895,0.010440241
,,6.460401169,1.0218746,0.593261317,0.011482343
,,6.569407545,1.002758472,0.824340921,0.012404204
,,6.678413921,0.987092519,0.663589892,0.01176291
,,6.787420298,0.977176859,0.452604167,0.010921211
,,6.896426674,0.962660964,,
,,7.00543305,0.951595245,,
,,7.114439426,0.938804439,,
,,7.223445802,0.929463807,,
,,7.332452179,0.918973118,,
,,7.441458555,0.910207516,,
,,7.550464931,0.900866885,,
,,7.659471307,0.889226136,,
,,7.768477683,0.873560184,,
,,7.87748406,0.860769377,,
,,7.961716259,0.847304708,,
