r (A),g(r)_weighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Eu-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Eu-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.06968327505050505,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.1393665501010101,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.20904982515151516,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.2787331002020202,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.3484163752525252,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.4180996503030303,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.48778292535353535,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.5574662004040404,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.6271494754545455,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.6968327505050504,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.7665160255555555,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.8361993006060606,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.9058825756565656,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.9755658507070707,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.0452491257575758,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.1149324008080808,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.1846156758585857,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.254298950909091,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.323982225959596,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.393665501010101,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.463348776060606,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.533032051111111,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.602715326161616,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.6723986012121212,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.7420818762626262,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.8117651513131312,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.8814484263636362,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.9511317014141414,0.033175650506800845,0.0,0.0,1.0,1.0,1.0,2.63068,0
2.0208149764646466,0.12881411612970767,0.0,0.00020418374278924025,1.0,1.0,1.0,2.63068,0
2.0904982515151516,0.3776886645456284,0.0003192481177870112,3.339830715267505e-05,1.0,1.0,1.0,2.63068,0
2.1601815265656565,0.8078078214041686,0.00033964818846240894,2.7377184988955973e-05,1.0,1.0,1.0,2.63068,0
2.2298648016161615,1.0641275241958512,0.00036004825913780666,2.9021527379354317e-05,1.0,1.0,1.0,2.63068,0
2.2995480766666665,1.1458814185887474,0.0003804483298132045,0.00027267953326212143,2.2902899648191746e-21,1.0,1.0,2.63068,0
2.3692313517171715,1.1133128951984024,0.0004008484004886022,0.0011107292899473565,2.2902899648191746e-21,1.0,1.0,2.63068,0
2.4389146267676765,0.9375835002347798,0.00042124854432967524,0.01275961698874546,2.2902899648191746e-21,1.0,1.0,2.63068,0
2.508597901818182,0.7294795709419999,0.0008696894167666475,0.04062631832199629,2.2902899648191746e-21,1.0,1.0,2.63068,0
2.578281176868687,0.5599010044948354,0.0035867176959033524,0.09100765378856052,2.2902899648191746e-21,1.0,1.0,2.63068,0
2.647964451919192,0.422324907987695,0.02312701407588968,0.11754798295636168,2.2902899648191746e-21,1.0,1.0,2.63068,0
2.717647726969697,0.3276110048609281,0.063819213481008,0.12128253981860952,2.2902899648191746e-21,1.0,3.3851581042609254e-56,2.63068,0
2.787331002020202,0.2516010191218106,0.12529527775325006,0.07921770095783284,2.2902899648191746e-21,1.0,3.3851581042609254e-56,2.63068,0
2.8570142770707068,0.1970124827125409,0.22615117124496367,0.0641457827884153,2.2902899648191746e-21,1.0,3.3851581042609254e-56,2.63068,0
2.926697552121212,0.1574542636622956,0.3139758718749269,0.03199902537212742,2.2902899648191746e-21,1.0,3.3851581042609254e-56,2.63068,0
2.996380827171717,0.1315449223512848,0.40228284055473906,0.018422324088862883,2.2902899648191746e-21,1.0,3.3851581042609254e-56,2.63068,0
3.066064102222222,0.11287846567365369,0.44460809639455906,0.009214079965289793,2.2902899648191746e-21,1.0,3.3851581042609254e-56,2.63068,0
3.135747377272727,0.10077201352693128,0.4550559297305855,0.003586789930427494,2.2902899648191746e-21,0.27065267832557693,3.3851581042609254e-56,2.63068,0
3.205430652323232,0.09141270082662681,0.4478700455867923,0.0021265043611016256,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.275113927373737,0.08385578683940056,0.4229356729464121,0.0019332714117970909,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.3447972024242425,0.08190178370925913,0.38444798067042074,0.0010115209777177548,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.4144804774747475,0.07711790943309996,0.33926157786986644,0.0004228609351180457,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.4841637525252525,0.07623866873135453,0.3053699233444442,5.861963186193077e-05,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.5538470275757574,0.07535942802960909,0.2737773037287066,6.026396880180206e-05,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.6235303026262624,0.07448018732786366,0.24209074045325413,6.190831220249109e-05,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.6932135776767674,0.07657352559110986,0.2118828351229847,6.355264831626736e-05,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.7628968527272724,0.08167202336827073,0.18196926932843288,6.519698544467792e-05,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.832580127777778,0.07800913616366657,0.15821012168539553,7.889569205257502e-05,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.9022634028282828,0.08558931489592105,0.1387042596119076,0.0002487420984821931,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
3.9719466778787877,0.09495549464180696,0.12330810659080726,0.0004185885049118111,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
4.041629952929293,0.10432167438769291,0.11070162674872823,0.0006181483076152478,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
4.111313227979798,0.10917291758791438,0.10112093350717166,0.0006545350775185525,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
4.180996503030303,0.11560396393412936,0.09625939996952478,0.000707723844490972,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
4.250679778080808,0.1254721626962844,0.09000233401334932,0.0011214773564405735,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
4.320363053131313,0.13534036145843953,0.0848673718953626,0.0015542454083599126,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
4.390046328181818,0.14148904773489135,0.08081988241636513,0.0024169171408936715,2.2902899648191746e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
4.459729603232323,0.14841911590421014,0.08287263052563247,0.003465984864938181,1.3807848027242953e-21,0.005221913093551309,3.3851581042609254e-56,2.63068,0
4.5294128782828285,0.15974124891818478,0.08139759114877324,0.004418307016643557,2.8148368805657037e-22,0.005221913093551309,3.3851581042609254e-56,2.63068,0
4.599096153333333,0.17238119493930412,0.079922551771914,0.0053760559557748215,2.4669099827988844e-42,0.005221913093551309,3.3851581042609254e-56,2.63068,0
4.668779428383838,0.1781997193087708,0.07759381634421054,0.005372211762526381,2.4669099827988844e-42,0.005221913093551309,3.3851581042609254e-56,2.63068,0
4.738462703434343,0.1873457835505329,0.08042838988153725,0.006361263790475385,2.4669099827988844e-42,0.005221913093551309,3.3851581042609254e-56,2.63068,0
4.808145978484848,0.19688931860786896,0.07961138073381041,0.0077294898085552175,2.4669099827988844e-42,0.005221913093551309,3.3851581042609254e-56,2.63068,0
4.877829253535353,0.2019959098934436,0.08281882942279815,0.009853255341129696,2.4669099827988844e-42,0.005221913093551309,3.3851581042609254e-56,2.63068,0
4.947512528585858,0.2129592788954909,0.08372534979542505,0.01170094937190744,2.4669099827988844e-42,0.005221913093551309,3.3851581042609254e-56,2.63068,0
5.017195803636364,0.2246082639342716,0.08710031320316658,0.011469379877303948,2.4669099827988844e-42,0.005221913093551309,3.3851581042609254e-56,2.63068,0
5.086879078686868,0.23263081993064802,0.09179917212673568,0.014117450880893138,2.4669099827988844e-42,0.005221913093551309,3.3851581042609254e-56,2.63068,0
5.156562353737374,0.2355203979303859,0.09650993109522063,0.013422266609480383,2.4669099827988844e-42,0.005221913093551309,3.3851581042609254e-56,2.63068,0
5.226245628787878,0.24118576924248772,0.10237749444872728,0.014142021305519992,2.4669099827988844e-42,0.005221913093551309,3.3851581042609254e-56,2.63068,0
5.295928903838384,0.2555588842705938,0.10939030613810533,0.013156703313724368,2.4669099827988844e-42,0.005221913093551309,3.3851581042609254e-56,2.63068,0
5.365612178888889,0.26072880141258814,0.11765963271361234,0.01373484925612295,2.4669099827988844e-42,0.005221913093551309,4.648918205010692e-57,2.63068,0
5.435295453939394,0.26303481800979733,0.12223482596826848,0.013700824459229034,2.4669099827988844e-42,0.005221913093551309,1.3028279918032195e-113,2.63068,0
5.504978728989899,0.26506669450521464,0.12827079588568374,0.013448281691772123,2.4669099827988844e-42,0.005221913093551309,1.3028279918032195e-113,2.63068,0
5.574662004040404,0.2648480318195927,0.13451072151545254,0.012793268599402658,2.4669099827988844e-42,0.005221913093551309,1.3028279918032195e-113,2.63068,0
5.644345279090909,0.26908057279858516,0.14215967918564362,0.01222638162739201,2.4669099827988844e-42,0.005221913093551309,1.3028279918032195e-113,2.63068,0
5.7140285541414135,0.27283764078588285,0.14688707230255854,0.012217141156603826,2.4669099827988844e-42,0.005221913093551309,1.3028279918032195e-113,2.63068,0
5.783711829191919,0.2738850320086112,0.1527426017427295,0.012187864869196822,2.4669099827988844e-42,0.005221913093551309,1.3028279918032195e-113,2.63068,0
5.853395104242424,0.26733232150832476,0.15651812464803536,0.012191409543651045,2.4669099827988844e-42,0.005221913093551309,1.3028279918032195e-113,2.63068,0
5.923078379292929,0.2616218350711327,0.1622311092707863,0.012220870622687749,2.4669099827988844e-42,0.005221913093551309,1.3028279918032195e-113,2.63068,0
5.992761654343434,0.2551534390362306,0.1684255315500485,0.011987931198834612,2.4669099827988844e-42,0.00457001684768819,1.3028279918032195e-113,2.63068,0
6.062444929393939,0.2491379905230743,0.17317875097729526,0.01280837350716648,2.4669099827988844e-42,0.0029026560999179376,1.3028279918032195e-113,2.63068,0
6.132128204444444,0.24317407720830755,0.17793197040454212,0.01345172122389874,2.4669099827988844e-42,0.0012352953521476634,1.3028279918032195e-113,2.63068,0
6.201811479494949,0.23721016389354088,0.18068852793259704,0.014095068940630992,2.4669099827988844e-42,0.00027135373187117657,1.3028279918032195e-113,2.63068,0
6.271494754545454,0.23116538734238692,0.18070892798209615,0.014738416657363251,2.4669099827988844e-42,0.00027135373187117657,1.3028279918032195e-113,2.63068,0
6.34117802959596,0.2280138623340235,0.18072932803159522,0.01526281037926399,2.4669099827988844e-42,0.00027135373187117657,1.3028279918032195e-113,2.63068,0
6.410861304646464,0.22194439800601493,0.18074972808109435,0.015668272348376266,2.4669099827988844e-42,0.00027135373187117657,1.3028279918032195e-113,2.63068,0
6.48054457969697,0.21377976946742833,0.18077012816704174,0.015993995809306924,2.4669099827988844e-42,0.00027135373187117657,1.3028279918032195e-113,2.63068,0
6.550227854747474,0.2020856868860081,0.18079052827513126,0.016387055603229745,2.4669099827988844e-42,0.00027135373187117657,1.3028279918032195e-113,2.63068,0
6.61991112979798,0.1988689638715696,0.1808109284026998,0.015471678957371655,2.4669099827988844e-42,0.00027135373187117657,1.3028279918032195e-113,2.63068,0
6.689594404848485,0.19584931891889124,0.17614252429734378,0.014589085239173426,2.3567078461235535e-42,0.00027135373187117657,1.3028279918032195e-113,2.63068,0
6.7592776798989895,0.18810243302181542,0.1738219336362631,0.013459397803649497,1.3272047310901556e-42,0.00027135373187117657,1.3028279918032195e-113,2.63068,0
6.828960954949495,0.18044594703001834,0.1742894818830492,0.010926241849556543,4.584167250823814e-43,0.00027135373187117657,1.3028279918032195e-113,2.63068,0
6.89864423,0.17998490359317615,0.17092074495077214,0.010311632997765581,0.0,0.00027135373187117657,1.3028279918032195e-113,2.63068,0
